Date,BA,CAT,CVX,GS,INTC,JPM,MCD,MSFT,NKE,PFE,UNH,VZ,WBA,XOM,MMM
20/07/17,210.279999,107.32,104.629997,222.300003,34.75,91.199997,154.210007,74.220001,59.099998,33.540001,191.5,44.220001,79.800003,80.860001,212.449997
21/07/17,212.139999,106.589996,103.25,220.179993,34.73,90.889999,153.919998,73.790001,59.950001,33.48,191.779999,44.23,78.900002,80.120003,211.160004
24/07/17,212.179993,108.18,103.199997,218.179993,34.5,91.279999,151.850006,73.599998,58.950001,33.32,190.889999,43.709999,79.599998,79.870003,210
25/07/17,212.460007,114.540001,104.389999,221.580002,34.669998,92.800003,159.070007,74.190002,59.389999,33.099998,190.399994,43.98,80.059998,80.269997,199.389999
26/07/17,233.449997,113.519997,105.120003,222.25,34.75,91.93,156.509995,74.050003,58.360001,32.889999,190.75,44.400002,78.68,80.370003,199.029999
27/07/17,241,114.370003,106.110001,221.479996,34.970001,91.550003,156.949997,73.160004,58.150002,33,188.929993,47.810001,78.779999,80.830002,200.050003
28/07/17,241.270004,114.099998,108.120003,223.610001,35.310001,91.279999,155.850006,73.040001,58.669998,33.150002,191.149994,47.939999,79.620003,79.599998,199.720001
31/07/17,242.460007,113.949997,109.190002,225.330002,35.470001,91.800003,155.139999,72.699997,59.049999,33.16,191.809998,48.400002,80.669998,80.040001,201.169998
01/08/17,239.440002,113.099998,110.779999,227,36.349998,93.029999,154.039993,72.580002,59.84,33.080002,192.229996,48.889999,81.129997,80.169998,203.179993
02/08/17,237.949997,113.089996,110.459999,226.270004,36.639999,93.110001,156.589996,72.260002,59.790001,32.919998,193,48.209999,81.029999,80.599998,205.410004
03/08/17,238.25,113.559998,109.43,223.990005,36.490002,92.5,154.720001,72.150002,60.139999,33.43,194.770004,48.610001,81.050003,80.489998,207.619995
04/08/17,237.710007,114.349998,110.110001,229.789993,36.299999,93.660004,153.820007,72.68,59.759998,33.639999,194.880005,48.91,81.059998,80.209999,207.649994
07/08/17,240.229996,114.709999,109.779999,232.919998,36.43,94.019997,154.970001,72.400002,59.790001,33.310001,194.779999,48.860001,81.510002,80.160004,207.440002
08/08/17,239.5,114.410004,110.349998,232.050003,36.41,93.68,154.919998,72.790001,59.459999,33.279999,194.899994,48.599998,81.080002,79.959999,206.429993
09/08/17,234.309998,114.339996,110.889999,231.009995,36.59,93.529999,154.919998,72.470001,59.900002,33.450001,194.830002,48.220001,81.279999,80.209999,206.479996
10/08/17,232.880005,113.150002,110.110001,225.5,36.139999,92.190002,156.619995,71.410004,59.07,33.419998,192.570007,48.02,79.75,78.970001,206.229996
11/08/17,234.880005,112.849998,109.230003,224.149994,35.869999,91.419998,157.300003,72.5,58.970001,33.25,193.020004,48.060001,80.720001,78.209999,205.979996
14/08/17,237.149994,113.709999,108.709999,227.360001,36.34,92.489998,157.259995,73.589996,59.779999,33.310001,193.710007,48.779999,81.529999,78.230003,207.369995
15/08/17,239.169998,113.650002,108.57,227.589996,36,92.730003,157.619995,73.220001,58.560001,33.380001,194.5,48.48,81.129997,78.040001,207.179993
16/08/17,237.589996,114.120003,106.839996,225.610001,35.810001,92.089996,158.899994,73.650002,58.540001,33.360001,193.770004,48.41,81.260002,77.470001,207.919998
17/08/17,235.589996,113.139999,105.919998,221.419998,35.169998,90.650002,157.889999,72.400002,57.459999,32.950001,192.699997,47.889999,80.889999,76.260002,205.350006
18/08/17,235.770004,113.919998,106.480003,222.149994,35.009998,90.739998,157.759995,72.489998,54.950001,32.669998,190.820007,47.689999,80.029999,76.639999,203.529999
21/08/17,235.679993,113.599998,105.779999,220.789993,34.919998,90.629997,158.360001,72.150002,53.610001,32.759998,192.029999,48.139999,80.599998,76.379997,204.550003
22/08/17,239.75,115.82,106.360001,223.580002,34.650002,91.559998,159.639999,73.160004,54.130001,33.150002,194.789993,48.349998,81.279999,76.739998,205.460007
23/08/17,238.089996,114.75,106.610001,222.740005,34.66,91.669998,158.809998,72.720001,53.610001,33.240002,194.240005,48.279999,81.360001,76.610001,202.669998
24/08/17,238.740005,114.779999,107.440002,222.990005,34.709999,91.519997,158.410004,72.690002,53.84,33.23,194.75,48.310001,80.5,76.330002,202.119995
25/08/17,235.889999,115.349998,108.230003,222.470001,34.669998,91.889999,158.820007,72.82,53.900002,33.389999,194.360001,48.68,81.129997,76.720001,202.130005
28/08/17,237.179993,115.07,107.760002,220.350006,34.650002,91.599998,159.669998,72.830002,53.73,33.470001,195.089996,48.610001,81.160004,76.470001,202.460007
29/08/17,240.490005,116.010002,107.860001,219.960007,34.73,91.099998,159.380005,73.050003,52.73,33.5,196.729996,48.509998,81.419998,76.449997,202.919998
30/08/17,240.460007,117.550003,107.730003,222.419998,34.889999,91.309998,159.529999,74.010002,52.560001,33.450001,195.880005,48.119999,81.779999,76.099998,203.690002
31/08/17,239.660004,117.489998,107.620003,223.740005,35.07,90.889999,159.970001,74.769997,52.810001,33.919998,198.899994,47.970001,81.5,76.330002,204.320007
01/09/17,240.330002,118.279999,108.760002,225.880005,35.09,91.699997,159.809998,73.940002,53.360001,33.959999,199.75,47.919998,81.220001,76.57,203.559998
05/09/17,237,118.300003,109.440002,217.779999,35.02,89.510002,159.100006,73.610001,53.009998,33.799999,199.309998,47.360001,81.459999,77.18,200.979996
06/09/17,234.619995,116.980003,111.790001,218.830002,35.759998,90.110001,158.220001,73.400002,52.759998,33.990002,198.380005,46.91,81.760002,78.779999,202.050003
07/09/17,236.309998,117.769997,111.800003,215.839996,35.540001,88.529999,159.899994,74.339996,52.389999,33.990002,198.169998,46.200001,81.559998,79.029999,204.460007
08/09/17,238.779999,117.82,110.779999,217.210007,35.189999,88.419998,159.710007,73.980003,52.200001,34.099998,197.75,46.110001,81.389999,78.82,205.690002
11/09/17,240.589996,118.870003,112.519997,221.059998,35.77,89.790001,161.529999,74.760002,53.029999,34.32,199.580002,46.299999,82.279999,79.25,209.559998
12/09/17,240.580002,120.940002,112.489998,225.949997,36.09,90.889999,156.330002,74.68,53.400002,35.369999,197.470001,46.790001,82.739998,79.5,209.639999
13/09/17,241.929993,119.629997,114.18,226.559998,36.330002,91.150002,157,75.209999,53.52,35.060001,198.330002,47.25,82.730003,79.769997,209.490005
14/09/17,245.229996,120.480003,114.449997,226.850006,36.48,90.970001,157,74.769997,53.73,35.73,197.729996,47.18,82.010002,80.089996,211.429993
15/09/17,249,121.370003,114.629997,225.220001,37,91.620003,156.919998,75.309998,53.869999,35.360001,198.179993,47.860001,82.5,80.07,213.350006
18/09/17,253.080002,123.830002,115.190002,227.529999,37,92.919998,156.679993,75.160004,53.5,35.549999,198.190002,48.09,82.599998,80.089996,213.759995
19/09/17,252.460007,124.739998,116.339996,228.910004,37.23,93.940002,157.429993,75.440002,53.330002,35.450001,194.649994,49.34,81.209999,80.220001,213.559998
20/09/17,255.460007,124.849998,116.370003,229.789993,37.07,94.599998,159.880005,74.940002,53.560001,35.990002,195.75,49.48,78.839996,80.550003,210.509995
21/09/17,256.040009,124.790001,116.470001,231.289993,37.200001,95.029999,159.029999,74.209999,53.189999,35.970001,195.210007,48.939999,78.199997,79.889999,210.440002
22/09/17,256.450012,124.43,117.290001,231.029999,37.18,94.830002,158.910004,74.410004,53.240002,35.959999,193.029999,49.900002,78.410004,79.919998,210.759995
25/09/17,254.320007,124.32,117.989998,230.259995,37.16,94.120003,156.259995,73.260002,53.23,35.509998,191.75,49.900002,78.959999,80.980003,210.729996
26/09/17,253.699997,124.510002,117.519997,229.940002,37.470001,93.699997,153.350006,73.260002,53.700001,35.299999,192.699997,49.509998,79.080002,80.889999,211.029999
27/09/17,255.279999,124.519997,117.449997,234.759995,37.540001,95.18,154.050003,73.849998,52.669998,35.450001,194.490005,49.509998,78.150002,81.43,209.479996
28/09/17,254.270004,125.230003,117.620003,235.470001,37.830002,95.379997,157.490005,73.870003,52.630001,35.599998,196.100006,49.41,77.519997,82.190002,209.550003
29/09/17,254.210007,124.709999,117.5,237.190002,38.080002,95.510002,156.679993,74.489998,51.849998,35.700001,195.850006,49.490002,77.220001,81.980003,209.899994
02/10/17,255.990005,124.720001,117.43,240.649994,39.040001,96.839996,156.960007,74.610001,51.869999,36.07,197.440002,49.360001,76.599998,81.629997,212.759995
03/10/17,255.460007,125.510002,117.82,241.619995,39.380001,97.349998,156.860001,74.260002,51.470001,36.139999,198.630005,49.849998,76.790001,81.760002,214.570007
04/10/17,255.759995,126.739998,117.580002,240.309998,39.34,96.360001,157.210007,74.690002,52.080002,35.959999,200.479996,49.900002,75.830002,81.790001,216.520004
05/10/17,258.890015,126.400002,118.580002,246.059998,39.529999,97.089996,158.800003,75.970001,52.18,36,197.899994,49.77,76.949997,82.019997,216.369995
06/10/17,258.579987,126.93,117.029999,246.020004,39.630001,96.919998,159.600006,76,52.419998,36.049999,198.059998,48.810001,73.199997,81.709999,216.520004
09/10/17,258.390015,126.879997,117.709999,242.800003,39.860001,96.410004,160.119995,76.290001,51.52,36.139999,196.300003,49.049999,70.870003,82.029999,216.679993
10/10/17,260.929993,128.190002,118.800003,242.600006,39.650002,97.129997,160.580002,76.290001,51.529999,36.400002,194.679993,49.139999,69.849998,82.260002,216.75
11/10/17,261.440002,128.600006,119.330002,242.399994,39.299999,96.839996,163.149994,76.419998,51.029999,36.450001,195.259995,48.860001,68.919998,82.599998,216.509995
12/10/17,261.910004,129.990005,119.139999,239.800003,39.189999,95.989998,163.910004,77.120003,50.830002,36.349998,192.919998,48.349998,69,82.43,217.589996
13/10/17,260.73999,130.710007,119.160004,238.529999,39.669998,95.860001,165.369995,77.489998,50.98,36.34,192.520004,47.860001,67.559998,82.410004,217.720001
16/10/17,259.75,131.470001,120.129997,242.410004,39.759998,97.839996,165.009995,77.650002,51.369999,35.98,193.199997,48.09,67.309998,82.809998,218.720001
17/10/17,258.619995,130.539993,120.220001,236.089996,39.790001,97.620003,165.399994,77.589996,52,36.200001,203.889999,48.400002,67.400002,82.959999,217.75
18/10/17,260.040009,131.289993,118.150002,242.029999,40.25,97.989998,165.770004,77.610001,52.299999,35.830002,205.229996,48.650002,67.739998,82.760002,218.270004
